ID,FECHA,HRS,TITULO,CUERPO,CONTENIDO,KEYWORD,LANGUAGE,LIKES,COMMENTS,SHARES,FOLLOWERS,FUENTE,SENTIMIENTO,TOPIC,sent_Legitimación_sociopolítica,sent_Efectividad_percibida,sent_Justicia_y_equidad_percibida,sent_Confianza_y_legitimidad_institucional,sent_Marcos_discursivos_dominantes
B3025337587BA4A0,2026-02-17,20:39,,,"—El PP: ""La prohibición del burka no es contra una religión sino contra la invisibilidad forzada y no prohibirlo en espacios públicos sería retroceder en libertad""

—Also el PP:",prohibición burka espacios públicos,Castellano,21,2,8,2198.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,1.0,1.0,1.0
AD19BB499812EACA,2026-02-17,19:32,,,"Burka y niqab | El Congreso rechaza la prohibición del velo integral en espacios públicos, pero el debate continuará en la cámara

orain.eus/es/politica/...",prohibición burka espacios públicos,Castellano,0,0,0,486.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
438599D4306ACC24,2026-02-17,18:52,,,"Sobre la prohibición del burka y niqab en espacios públicos.
Una vez vi una mujer con burka, y respeto a quien lo hace por motivos religiosos.
Su prohibición supondría aislamiento total de quien lo usa y así lo sentenció el TS en 2013 
Las ultraderechas debaten un problema que no existe y eso cala.",prohibición burka espacios públicos,Castellano,0,1,0,290.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
2DF7CFCE521D1CB5,2026-02-17,18:50,,,"El PP defiende la prohibición del burka y el niqab en espacios públicos: ""Son mujeres en cárceles de tela""
➡️ Ester Muñoz, portavoz parlamentaria, descarta un cambio en los planteamientos de su formación: ""Esto no es negociable"".",prohibición burka espacios públicos,Castellano,0,0,0,2124.0,BlueSky,-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
0CFFEE7D38661577,2026-02-17,17:01,,,La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts,prohibición burka espacios públicos,Castellano,0,0,0,880.0,BlueSky,-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
716141C8236F1292,2026-02-17,11:59,,,"En las universidades públicas este tema del uso del burka o el niqab está a la orden del día.
En España no hay prohibición legal de usarlo en espacios públicos; sin embargo para la identificación en el aula hay reglamentos prohibiendo su uso.
El hijab al no cubrir el rostro si se permite",prohibición burka espacios públicos,Castellano,1,0,0,923.0,BlueSky,-1,burka prohibición espacios públicos,1.0,0.0,1.0,1.0,1.0
AB49EC778314099E,2026-02-17,09:35,,,La prohibición del burka y el niqab en espacios públicos es un viejo debate en Cataluña. Las iniciativas para vetarlos han fracasado porque se han planteado desde el ámbito municipal y han topado con un problema de falta de competencias,prohibición burka espacios públicos,Castellano,7,7,4,163218.0,BlueSky,-1,prohibición burka espacios públicos,0.0,0.0,0.0,0.0,1.0
AB49EC778314099E,2026-02-17,09:35,,,La prohibición del burka y el niqab en espacios públicos es un viejo debate en Cataluña. Las iniciativas para vetarlos han fracasado porque se han planteado desde el ámbito municipal y han topado con un problema de falta de competencias,prohibición burka espacios públicos,Castellano,7,7,4,163218.0,BlueSky,-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
50D3DA8258303742,2026-02-17,09:06,,,"No voy a defender un burka, pero la prohibición y las sanciones solo van a relegar más a estas mujeres, se o les encerrarán en las casas. Yo no creo en la prohibición, es violencia para combatir la violencia. La solución es que ocupen espacios públicos, que vayan a las escuelas, a trabajar y poco",prohibición burka espacios públicos,Castellano,0,1,0,833.0,BlueSky,-1,prohibición burka espacios públicos,2.0,2.0,2.0,2.0,2.0
AA0830D5C9D0C954,2026-02-17,08:23,,,"𝗘𝗹 𝗱𝗲𝗯𝗮𝘁𝗲 𝘀𝗼𝗯𝗿𝗲 𝗹𝗮 𝗽𝗿𝗼𝗵𝗶𝗯𝗶𝗰𝗶𝗼́𝗻 𝗱𝗲𝗹 𝗯𝘂𝗿𝗸𝗮 𝘆 𝗻𝗶𝗾𝗮𝗯 𝗲𝗻 𝗲𝘀𝗽𝗮𝗰𝗶𝗼𝘀 𝗽𝘂́𝗯𝗹𝗶𝗰𝗼𝘀 𝗮𝘁𝗲𝗿𝗿𝗶𝘇𝗮 𝗵𝗼𝘆 𝗲𝗻 𝗲𝗹 𝗖𝗼𝗻𝗴𝗿𝗲𝘀𝗼 a iniciativa de Vox 🥦 y con el apoyo del PP 💧

🌷 Sumar votará en contra y la tacha de “retrógrada”.

🍈 Junts mantiene la incógnita sobre su posición.

👇
electomania.es/el-debate-so...",prohibición burka espacios públicos,Castellano,2,0,0,10059.0,BlueSky,-1,prohibición burka espacios públicos,1.0,0.0,1.0,0.0,1.0
