usuario,Fullname,contenido,fecha,enlace,TipoDeTweet,UsuarioOriginal,EnlaceOriginal,comments,retweets,quotes,hearts,plays,Likes,Followers,Following,Tweets,Bio,Ubicacion,JoinDate,Website,IsVerified,IsProtected,search_keyword,keyword_languages,sentimiento,topic
periodicoclm.bsky.social,PeriódicoCLM,"🗣️ @sarasimonalcorlo.bsky.social defiende avanzar hacia la prohibición del burka y nicab en espacios públicos para salvaguardar los derechos de las mujeres a las que se trata de ""invisibilizar"" con estos elementos

@publico.es | #CastillaLaMancha

Aquí os lo contamos 👇",2026-02-19T12:29:15.399Z,https://bsky.app/profile/periodicoclm.bsky.social/post/3mf7ltyhatc2e,Post,,,1,2,0,1,0,,313,96,1846,🔴 Síguenos y súmate a Periódico de Castilla-La Mancha 📢 Tu diario con la actualidad de la región 👉 También en periodicoclm.publico.es y facebook: http://facebook.com/periodicoclm,,2024-11-19T19:03:57.410Z,,False,,prohibición burka espacios públicos,Castellano,1,prohibición burka espacios públicos
autodefensas.bsky.social,👁️‍🗨️SigWar_OpX📡Δ,"El Parlamento portugués ha aprobado la prohibición del uso del burka en espacios públicos. La propuesta, apoyada por PSD, IL y CDS-PP, ha generado debate y oposición por parte de otros partidos.

",2026-02-19T11:44:35.915342+00:00,https://bsky.app/profile/autodefensas.bsky.social/post/3mf7je56kh22o,Post,,,0,0,0,0,0,,110,39,46279,"Noticias de actualidad sobre España, Israel y el resto del mundo.  🔔 Otras Plataformas:  📨 Email: autodefensas@proton.me 🐦 X: https://x.com/elrick111 💬 Telegram: https://t.me/autodefensavecinalespana",,2025-05-24T09:06:30.640Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
autodefensas.bsky.social,👁️‍🗨️SigWar_OpX📡Δ,"Patxi López defiende el burka como una ""expresión de libertad religiosa"" en medio del debate sobre su prohibición en espacios públicos.

",2026-02-18T23:17:07.199014+00:00,https://bsky.app/profile/autodefensas.bsky.social/post/3mf67lk4lym23,Post,,,0,0,0,0,0,,110,39,46279,"Noticias de actualidad sobre España, Israel y el resto del mundo.  🔔 Otras Plataformas:  📨 Email: autodefensas@proton.me 🐦 X: https://x.com/elrick111 💬 Telegram: https://t.me/autodefensavecinalespana",,2025-05-24T09:06:30.640Z,,False,,prohibición burka espacios públicos,Castellano,1,libertad religiosa
black-strobes.bsky.social,Black,"—El PP: ""La prohibición del burka no es contra una religión sino contra la invisibilidad forzada y no prohibirlo en espacios públicos sería retroceder en libertad""

—Also el PP:",2026-02-17T20:39:32.188Z,https://bsky.app/profile/black-strobes.bsky.social/post/3mf3gctkvtk2w,Post,,,2,8,0,22,0,,2216,444,8254,Vine aquí a quejarme de Twitter y me quedé por el servicio técnico.,,2023-09-22T13:45:26.474Z,,False,,prohibición burka espacios públicos,Castellano,1,libertad religiosa
orainnoticias.bsky.social,Orain Noticias,"Burka y niqab | El Congreso rechaza la prohibición del velo integral en espacios públicos, pero el debate continuará en la cámara

orain.eus/es/politica/...",2026-02-17T19:32:58.522Z,https://bsky.app/profile/orainnoticias.bsky.social/post/3mf3clsvshc2q,Post,,,0,0,0,0,0,,490,22,7300,"El nuevo servicio digital de información de EITB. Cercano, riguroso, fiable. #orainnoticias  Whatsapp: https://www.orain.eus/es/whatsapp_enrollment/ Instagram: https://www.instagram.com/orain_noticias/",,2024-11-25T16:40:42.547Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
pauvega13.bsky.social,,"Sobre la prohibición del burka y niqab en espacios públicos.
Una vez vi una mujer con burka, y respeto a quien lo hace por motivos religiosos.
Su prohibición supondría aislamiento total de quien lo usa y así lo sentenció el TS en 2013 
Las ultraderechas debaten un problema que no existe y eso cala.",2026-02-17T18:52:22.156Z,https://bsky.app/profile/pauvega13.bsky.social/post/3mf3ad7fsrs2v,Post,,,1,0,0,0,0,,293,79,2692,"Roja, atea, feminista y concebollista. A veces hablo de ciencia y también de recetas de cocina, tengo una gata canija y un pie escacharrao.",,2023-09-11T08:13:52.351Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
larazonlr.bsky.social,La Razón,"El PP defiende la prohibición del burka y el niqab en espacios públicos: ""Son mujeres en cárceles de tela""
➡️ Ester Muñoz, portavoz parlamentaria, descarta un cambio en los planteamientos de su formación: ""Esto no es negociable"".",2026-02-17T18:50:14.630Z,https://bsky.app/profile/larazonlr.bsky.social/post/3mf3a7gyyx72f,Post,,,0,0,0,0,0,,2127,31,58057,"📰 Noticias de actualidad, información de calidad, últimas horas y exclusivas 📲 Síguenos en nuestro canal de WhatsApp ➡️ http://lrzn.es/n0owe 🔗 larazon.es  ",,2024-11-18T11:26:54.946Z,,False,,prohibición burka espacios públicos,Castellano,1,prohibición burka espacios públicos
abc.es,ABC.es,La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts,2026-02-17T17:01:14.583Z,https://bsky.app/profile/abc.es/post/3mf324jjbku2v,Post,,,0,0,0,0,0,,885,1,33292,"Somos ABC, tu periódico 📰 📸 http://instagram.com/abc_diario ⬛ http://Tiktok.com/@abc.es  ➡ LinkedIn http://ver.abc.es/gzpmg 🟦 Facebook https://facebook.com/ABCes",,2024-11-21T08:50:17.570Z,,False,,prohibición burka espacios públicos,Castellano,1,rechazo
disinformationstop.bsky.social,STOP DISINFORMATION Desinformación,"En las universidades públicas este tema del uso del burka o el niqab está a la orden del día.
En España no hay prohibición legal de usarlo en espacios públicos; sin embargo para la identificación en el aula hay reglamentos prohibiendo su uso.
El hijab al no cubrir el rostro si se permite",2026-02-17T11:59:31.259Z,https://bsky.app/profile/disinformationstop.bsky.social/post/3mf2jay25lk27,Post,,,0,1,0,1,0,,925,2875,6037,"Por contar algo: trabajamos en bibliotecas académicas científicas españolas Y somos PhD, ese título que tanto se valora",,2024-12-03T17:03:53.145Z,,False,,prohibición burka espacios públicos,Castellano,0,prohibición burka espacios públicos
elpais.com,EL PAÍS,La prohibición del burka y el niqab en espacios públicos es un viejo debate en Cataluña. Las iniciativas para vetarlos han fracasado porque se han planteado desde el ámbito municipal y han topado con un problema de falta de competencias ,2026-02-17T09:35:51+00:00,https://bsky.app/profile/elpais.com/post/3mf2ba3dmwj24,Post,,,6,4,2,7,0,,163351,127,27282,"La mejor información en español. Con nuestra mirada puesta en España, Europa y América. Suscríbete: https://tinyurl.com/yfbk27jh  Aquí puedes consultar nuestra política de privacidad: https://tinyurl.com/32dnhzc9",,2023-09-21T14:39:53.438Z,,False,,prohibición burka espacios públicos,Castellano,0,falta de competencias
